Dataset,Criterion,Accuracy
Hayes-Roth,Bagged (Pruned (Entropy)),0.675
Hayes-Roth,Gini Index,0.6
Hayes-Roth,Bagged (Gini Index),0.675
Hayes-Roth,Bagged (Pruned (Gini Index)),0.725
Hayes-Roth,Gain Ratio,0.65
Hayes-Roth,Bagged (Gain Ratio),0.55
Hayes-Roth,Bagged (Pruned (Gain Ratio)),0.7
Hayes-Roth,Chi-Square,0.6
Hayes-Roth,Bagged (Chi-Square),0.65
Hayes-Roth,Bagged (Pruned (Chi-Square)),0.675
Hayes-Roth,Hellinger Distance,0.4
Hayes-Roth,Bagged (Hellinger Distance),0.425
Hayes-Roth,Bagged (Pruned (Hellinger Distance)),0.3
Hayes-Roth,Twoing Rule,0.6
Hayes-Roth,Bagged (Twoing Rule),0.675
Hayes-Roth,Bagged (Pruned (Twoing Rule)),0.725
Congressional Voting Records,Entropy,0.9142857142857143
Congressional Voting Records,Bagged (Entropy),0.9714285714285714
Congressional Voting Records,Bagged (Pruned (Entropy)),0.9714285714285714
Congressional Voting Records,Gini Index,0.9142857142857143
Congressional Voting Records,Bagged (Gini Index),0.9571428571428572
Congressional Voting Records,Bagged (Pruned (Gini Index)),0.9714285714285714
Congressional Voting Records,Gain Ratio,0.9142857142857143
Congressional Voting Records,Bagged (Gain Ratio),0.9428571428571428
Congressional Voting Records,Bagged (Pruned (Gain Ratio)),0.9714285714285714
Congressional Voting Records,Chi-Square,0.9142857142857143
Congressional Voting Records,Bagged (Chi-Square),0.9285714285714286
Congressional Voting Records,Bagged (Pruned (Chi-Square)),0.9714285714285714
Congressional Voting Records,Hellinger Distance,0.7142857142857143
Congressional Voting Records,Bagged (Hellinger Distance),0.7714285714285715
Congressional Voting Records,Bagged (Pruned (Hellinger Distance)),0.8
Congressional Voting Records,Twoing Rule,0.9142857142857143
Congressional Voting Records,Bagged (Twoing Rule),0.9428571428571428
Congressional Voting Records,Bagged (Pruned (Twoing Rule)),0.9714285714285714
Chess (King-Rook vs King-Pawn),Entropy,0.7090719499478624
Chess (King-Rook vs King-Pawn),Bagged (Entropy),0.7184567257559958
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Entropy)),0.708029197080292
Chess (King-Rook vs King-Pawn),Gini Index,0.7090719499478624
Chess (King-Rook vs King-Pawn),Bagged (Gini Index),0.7163712200208551
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Gini Index)),0.708029197080292
Chess (King-Rook vs King-Pawn),Gain Ratio,0.7101147028154328
Chess (King-Rook vs King-Pawn),Bagged (Gain Ratio),0.7101147028154328
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Gain Ratio)),0.7122002085505735
Chess (King-Rook vs King-Pawn),Chi-Square,0.7090719499478624
Chess (King-Rook vs King-Pawn),Bagged (Chi-Square),0.7184567257559958
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Chi-Square)),0.7122002085505735
Chess (King-Rook vs King-Pawn),Hellinger Distance,0.64859228362878
Chess (King-Rook vs King-Pawn),Bagged (Hellinger Distance),0.6548488008342023
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Hellinger Distance)),0.7122002085505735
Chess (King-Rook vs King-Pawn),Twoing Rule,0.7090719499478624
Chess (King-Rook vs King-Pawn),Bagged (Twoing Rule),0.7122002085505735
Chess (King-Rook vs King-Pawn),Bagged (Pruned (Twoing Rule)),0.7122002085505735
